City,Rooms,SizeSqm,Floor,Age,HasParking,HasElevator,Price
TelAviv,2,64,10,13,0,1,3190000
Jerusalem,2,80,4,20,1,1,2313000
Netanya,3,91,0,65,1,0,1480000
Rishon,5,135,11,3,1,1,3777000
PetahTikva,5,127,3,3,0,1,3473000
BeerSheva,4,117,15,31,0,1,1155000
Jerusalem,5,130,2,20,1,0,3821000
PetahTikva,2,76,10,4,0,1,2130000
BatYam,3,79,7,21,0,1,2048000
PetahTikva,4,97,16,35,1,1,2201000
Herzliya,6,133,0,5,1,0,5956000
Jerusalem,4,106,12,3,0,1,3254000
Haifa,5,128,8,24,1,1,2410000
TelAviv,2,83,20,26,1,1,3467000
Herzliya,4,105,16,12,0,1,4139000
Rishon,4,121,16,54,1,1,2417000
PetahTikva,6,149,0,27,1,0,2935000
Rishon,2,66,12,34,0,1,1741000
RamatGan,2,69,6,60,1,1,1621000
Netanya,6,155,4,75,1,1,2839000
Haifa,5,130,4,24,0,1,1937000
BeerSheva,6,157,16,10,1,1,1960000
RamatGan,4,110,14,9,1,1,4245000
Netanya,4,105,20,37,1,1,2815000
Jerusalem,2,63,0,14,1,1,1847000
Herzliya,4,100,19,78,1,1,2867000
Haifa,4,112,19,66,1,1,1486000
Herzliya,4,117,5,71,1,1,3259000
PetahTikva,3,99,13,6,0,1,2802000
Jerusalem,5,138,19,37,1,1,4289000
BeerSheva,4,102,13,40,1,1,1009000
Haifa,3,92,15,16,1,1,1916000
Jerusalem,2,84,1,4,0,0,2293000
Rishon,3,101,9,29,0,1,2629000
TelAviv,6,141,17,25,0,1,6794000
Netanya,5,124,20,6,0,1,3866000
RamatGan,6,155,18,1,0,1,6265000
Netanya,6,143,14,53,1,1,2886000
Netanya,5,115,7,53,0,1,2401000
BatYam,3,87,4,49,1,1,1802000
Herzliya,5,117,2,68,0,1,3124000
Haifa,4,105,3,14,1,0,2084000
Haifa,5,119,13,52,1,1,1703000
Jerusalem,4,107,4,64,1,1,2409000
RamatGan,4,113,20,56,0,1,2858000
Netanya,6,150,6,47,1,1,3240000
Jerusalem,4,118,0,33,0,0,2882000
Herzliya,2,84,9,25,0,1,3423000
Herzliya,2,65,16,37,1,1,2676000
BatYam,3,102,18,51,1,1,2292000
Haifa,3,80,2,73,1,1,1064000
RamatGan,3,82,7,8,0,1,3193000
PetahTikva,3,101,17,66,0,1,1838000
RamatGan,5,122,11,4,0,1,4922000
Herzliya,4,116,11,58,1,1,3775000
Herzliya,3,89,18,64,1,1,3063000
BatYam,5,117,16,75,1,1,2104000
RamatGan,6,153,17,35,1,1,4693000
Herzliya,6,142,12,74,1,1,3952000
BeerSheva,3,100,8,8,1,1,1246000
Haifa,4,121,0,44,1,0,1534000
Herzliya,5,117,3,37,0,1,4375000
RamatGan,3,103,10,50,1,1,2690000
BeerSheva,6,156,18,78,0,1,1300000
TelAviv,6,154,1,67,0,1,5063000
BeerSheva,3,100,2,50,1,0,961000
Herzliya,5,122,7,11,0,1,4657000
BeerSheva,4,105,9,55,0,1,992000
PetahTikva,3,99,20,27,0,1,2150000
Netanya,4,99,2,75,0,1,1826000
Herzliya,6,143,17,9,0,1,5730000
BatYam,6,135,6,58,0,1,2478000
Jerusalem,6,136,13,21,0,1,4089000
RamatGan,5,121,3,39,0,0,3097000
PetahTikva,3,97,7,72,0,1,1682000
TelAviv,6,134,3,46,1,1,5367000
PetahTikva,4,119,18,6,0,1,3507000
RamatGan,2,67,1,12,0,0,2281000
Rishon,4,99,10,58,1,1,2041000
Netanya,4,109,0,76,0,1,1736000
Jerusalem,6,144,16,18,1,1,4702000
BatYam,2,62,4,74,1,1,1041000
TelAviv,6,137,18,17,0,1,6652000
Herzliya,2,64,20,38,0,1,2207000
RamatGan,2,65,14,57,0,1,1651000
Netanya,5,126,19,3,0,1,3449000
Netanya,4,109,20,78,0,1,2188000
Herzliya,6,134,1,13,0,0,5230000
PetahTikva,6,151,8,13,1,1,3525000
Rishon,4,102,12,59,1,1,1911000
TelAviv,6,137,7,38,0,1,5625000
RamatGan,2,73,19,59,1,1,1843000
Rishon,5,128,13,77,1,1,2510000
Netanya,2,76,18,35,0,1,1818000
Jerusalem,5,124,11,7,0,1,3672000
Rishon,6,153,19,77,1,1,3216000
BatYam,3,90,8,6,1,1,2756000
Herzliya,5,138,16,4,1,1,5858000
BeerSheva,4,109,0,34,0,1,1017000
Rishon,4,113,6,7,0,1,3299000
Netanya,5,139,11,57,1,1,3137000
TelAviv,4,105,4,67,0,1,3020000
Netanya,5,115,12,79,0,1,2142000
PetahTikva,6,146,18,77,1,1,2467000
RamatGan,5,134,14,60,0,1,3835000
Herzliya,5,127,2,25,1,0,4125000
RamatGan,3,85,14,12,1,1,3435000
Netanya,5,117,14,28,0,1,3127000
Herzliya,5,133,5,66,0,1,3979000
TelAviv,4,99,17,12,0,1,5243000
PetahTikva,4,113,9,80,0,1,1863000
Herzliya,5,122,8,31,0,1,4153000
PetahTikva,4,98,17,41,0,1,1929000
PetahTikva,3,80,0,18,0,0,1798000
Haifa,6,157,11,56,0,1,1988000
Rishon,3,87,3,52,0,0,1597000
Jerusalem,4,115,11,42,1,1,2750000
BeerSheva,5,135,13,55,0,1,1267000
Haifa,5,138,2,48,0,0,1775000
BatYam,5,116,18,11,1,1,3241000
Rishon,5,118,16,73,0,1,2332000
BeerSheva,6,146,16,11,1,1,1885000
TelAviv,2,71,1,68,1,1,2143000
Rishon,4,113,0,33,1,0,2453000
Netanya,5,121,10,23,0,1,3099000
Herzliya,3,87,16,23,0,1,3465000
BeerSheva,3,93,1,9,1,1,1247000
BeerSheva,6,155,2,15,1,0,1991000
Haifa,2,70,7,71,0,1,1010000
TelAviv,2,77,11,40,1,1,3142000
BatYam,3,82,20,60,0,1,1491000
Netanya,4,107,16,71,0,1,1968000
Rishon,2,83,19,62,0,1,1609000
Jerusalem,6,151,14,63,0,1,3117000
PetahTikva,4,100,3,77,1,1,1816000
BeerSheva,3,100,16,38,0,1,1071000
BatYam,4,97,11,47,1,1,2283000
Netanya,5,133,10,77,0,1,2497000
TelAviv,3,103,20,17,0,1,4187000
BeerSheva,5,138,13,34,1,1,1442000
PetahTikva,2,61,18,2,0,1,1820000
BeerSheva,5,120,16,31,0,1,1392000
TelAviv,4,108,17,47,0,1,4096000
Jerusalem,6,152,5,14,1,1,5016000
PetahTikva,2,83,3,70,1,0,1417000
BatYam,5,138,1,37,0,1,2991000
BeerSheva,6,137,7,64,0,1,1195000
RamatGan,6,151,10,64,0,1,3656000
TelAviv,6,149,5,22,1,1,6436000
TelAviv,4,106,12,80,1,1,4016000
Haifa,4,116,8,19,0,1,2152000
RamatGan,6,138,18,54,1,1,3540000
Rishon,2,66,6,25,1,1,1910000
Netanya,4,101,19,4,0,1,2952000
Netanya,6,152,16,44,1,1,3791000
Haifa,6,135,11,6,1,1,2606000
PetahTikva,4,107,12,80,0,1,1829000
Herzliya,2,67,14,13,1,1,3215000
Haifa,4,109,4,56,0,1,1284000
Netanya,4,98,2,79,0,1,1632000
Rishon,5,121,18,63,0,1,2594000
Haifa,3,80,4,16,1,1,1564000
TelAviv,2,70,16,0,0,1,3488000
Jerusalem,3,88,12,8,1,1,2647000
Jerusalem,4,97,20,29,0,1,3061000
BeerSheva,4,104,1,54,0,1,818000
Herzliya,4,117,3,35,1,1,4414000
Netanya,3,96,16,43,0,1,2296000
RamatGan,5,126,20,33,1,1,3779000
BeerSheva,6,152,15,78,1,1,1281000
Rishon,3,82,12,35,0,1,2108000
Netanya,6,140,0,34,1,1,3346000
TelAviv,3,90,2,45,0,0,2834000
RamatGan,3,87,1,17,1,0,3058000
Netanya,3,94,10,72,1,1,1779000
Herzliya,2,84,10,58,0,1,2755000
TelAviv,2,67,10,15,0,1,2948000
Haifa,2,63,7,7,1,1,1190000
Rishon,2,78,15,46,1,1,1568000
Netanya,2,68,17,5,0,1,1889000
Herzliya,5,127,13,7,0,1,5409000
PetahTikva,6,150,17,79,0,1,2441000
BatYam,4,100,16,47,0,1,1805000
BeerSheva,3,98,3,45,1,1,1074000
BatYam,5,118,5,72,1,1,2243000
Rishon,5,115,16,64,1,1,2229000
Herzliya,6,147,2,73,0,1,3734000
Herzliya,4,99,7,78,0,1,3057000
RamatGan,4,105,12,27,1,1,3258000
Herzliya,5,128,5,42,1,1,4400000
TelAviv,6,139,4,55,0,1,4916000
BatYam,4,121,13,29,1,1,3092000
Haifa,2,74,19,16,1,1,1335000
Jerusalem,4,101,9,35,1,1,2699000
BatYam,4,112,12,50,1,1,2200000
TelAviv,6,136,5,5,1,1,7560000
BatYam,3,103,20,8,0,1,2490000
Jerusalem,2,70,6,6,0,1,2158000
Haifa,2,79,5,22,1,1,1505000
RamatGan,3,80,15,7,0,1,3402000
BeerSheva,3,94,2,78,0,0,675000
Herzliya,4,105,12,17,0,1,4361000
Jerusalem,3,92,8,74,0,1,2186000
Netanya,2,80,7,15,0,1,1887000
Netanya,3,79,20,6,0,1,2317000
Jerusalem,2,63,0,75,0,1,1198000
Haifa,5,123,9,24,0,1,2295000
Netanya,5,126,13,41,1,1,3011000
BatYam,5,116,3,5,0,0,2801000
Netanya,2,61,19,41,0,1,1338000
BeerSheva,6,133,19,14,0,1,1514000
TelAviv,5,138,19,13,0,1,6236000
Rishon,4,115,13,14,1,1,3270000
Rishon,5,120,11,78,1,1,2157000
PetahTikva,4,105,12,54,1,1,1930000
BeerSheva,5,129,16,34,0,1,1445000
Jerusalem,3,82,2,21,0,0,2319000
PetahTikva,3,87,5,75,0,1,1393000
BeerSheva,3,84,12,6,1,1,1115000
PetahTikva,3,91,4,2,0,1,2510000
BeerSheva,6,151,13,70,1,1,1425000
Herzliya,4,114,11,72,0,1,3111000
BatYam,3,89,18,64,0,1,1778000
Rishon,4,118,2,66,1,1,2382000
Jerusalem,2,85,2,76,0,0,1735000
BeerSheva,2,83,13,58,1,1,779000
